NCBI_sample_code,sample_name,plate,plate_type,Sample Type,spiked
S3_002_008G1,#2D8_G,EX_17,DNA extraction,Gut,False
S3_004_032G1,#4D32_G,EX_17,DNA extraction,Gut,False
S3_007_011G1,#7D11_G,EX_17,DNA extraction,Gut,False
S3_012_010G1,#12D10_G,EX_17,DNA extraction,Gut,False
S3_014_059G1,#14D59_G,EX_17,DNA extraction,Gut,False
S3_011_053G1,#11D53_G,EX_17,DNA extraction,Gut,False
S3_CON_017Z4,PC6_1,EX_17,DNA extraction,CON_Z,False
S3_004_057G1,#4D57_G,EX_17,DNA extraction,Gut,False
S3_007_016G1,#7D16_G,EX_17,DNA extraction,Gut,False
S3_010_011G1,#10D11_G,EX_17,DNA extraction,Gut,False
S3_012_032G1,#12D32_G,EX_17,DNA extraction,Gut,False
S3_015_011G1,#15D11_G,EX_17,DNA extraction,Gut,False
S3_013_010G1,#13D10_G,EX_17,DNA extraction,Gut,False
S3_002_028G1,#2D28_G,EX_17,DNA extraction,Gut,False
S3_005_011G1,#5D11_G,EX_17,DNA extraction,Gut,False
S3_008_010G1,#8D10_G,EX_17,DNA extraction,Gut,False
S3_010_013G1,#10D13_G,EX_17,DNA extraction,Gut,False
S3_012_057G1,#12D57_G,EX_17,DNA extraction,Gut,False
S3_015_028G1,#15D28_G,EX_17,DNA extraction,Gut,False
S3_013_056G1,#13D56_G,EX_17,DNA extraction,Gut,False
S3_002_054G1,#2D54_G,EX_17,DNA extraction,Gut,False
S3_008_015G1,#8D15_G,EX_17,DNA extraction,Gut,False
S3_015_052G1,#15D52_G,EX_17,DNA extraction,Gut,False
S3_014_012G1,#14D12_G,EX_17,DNA extraction,Gut,False
S3_005_029G1,#5D29_G,EX_17,DNA extraction,Gut,False
S3_008_029G1,#8D29_G,EX_17,DNA extraction,Gut,False
S3_010_019G1,#10D19_G,EX_17,DNA extraction,Gut,False
S3_013_028G1,#13D28_G,EX_17,DNA extraction,Gut,False
S3_017_030G1,#17D30_G,EX_17,DNA extraction,Gut,False
S3_003_030G1,#3D30_G,EX_17,DNA extraction,Gut,False
S3_005_059G1,#5D59_G,EX_17,DNA extraction,Gut,False
S3_009_009G1,#9D9_G,EX_17,DNA extraction,Gut,False
S3_011_013G1,#11D13_G,EX_17,DNA extraction,Gut,False
S3_016_015G1,#16D15_G,EX_17,DNA extraction,Gut,False
S3_017_051G1,#17D51_G,EX_17,DNA extraction,Gut,False
S3_003_051G1,#3D51_G,EX_17,DNA extraction,Gut,False
S3_006_057G1,#6D57_G,EX_17,DNA extraction,Gut,False
S3_009_031G1,#9D31_G,EX_17,DNA extraction,Gut,False
S3_011_033G1,#11D33_G,EX_17,DNA extraction,Gut,False
S3_016_030G1,#16D30_G,EX_17,DNA extraction,Gut,False
S3_004_010G1,#4D10_G,EX_17,DNA extraction,Gut,False
S3_009_057G1,#9D57_G,EX_17,DNA extraction,Gut,False
S3_014_027G1,#14D27_G,EX_17,DNA extraction,Gut,False
