infant1,infant2,sample1,sample2,NCBI_sample_code1,NCBI_sample_code2,column_distance_on_plate,physical_distance_on_plate,sample_pairs_v1,sample_pairs_v2,infant_pairs,sibling,name,popANI,percent_compared,conANI,coverage_overlap,completeness,contamination,strain_heterogeneity,compared_bases_count,consensus_SNPs,population_SNPs,genome,phylum,genus,species,name1,name2,plate_loc1,plate_loc2
#13,#21,#13D14,#21D36,L2_013_014G1,L2_021_036G1,3.0,4.242640687119285,#13D14-vs-#21D36,#21D36-vs-#13D14,#13-vs-#21,No,Lactobacillus_paracasei_dasL2_013_015G1_metabat.metabat.11.fa.fa,1.0,0.9439347641507913,0.9989183841771148,0.9483381981537744,98.91,0.0,0.0,2339093,2530,0,dasL2_013_015G1_metabat.metabat.11.fa.fa,Firmicutes,Lactobacillus,Lactobacillus paracasei,NIHL.delta.fasta-vs-L2_013_014G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_021_036G1.shrink.sort.bam,P1,P1
#13,#21,#13D15,#21D36,L2_013_015G1,L2_021_036G1,3.0,3.605551275463989,#13D15-vs-#21D36,#21D36-vs-#13D15,#13-vs-#21,No,Lactobacillus_paracasei_dasL2_013_015G1_metabat.metabat.11.fa.fa,1.0,0.9449811624100491,0.9990293318574736,0.948117979682912,98.91,0.0,0.0,2341686,2273,0,dasL2_013_015G1_metabat.metabat.11.fa.fa,Firmicutes,Lactobacillus,Lactobacillus paracasei,NIHL.delta.fasta-vs-L2_013_015G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_021_036G1.shrink.sort.bam,P1,P1
#13,#21,#13D17,#21D36,L2_013_017G1,L2_021_036G1,3.0,3.1622776601683795,#13D17-vs-#21D36,#21D36-vs-#13D17,#13-vs-#21,No,Lactobacillus_paracasei_dasL2_013_015G1_metabat.metabat.11.fa.fa,1.0,0.9160193767292004,0.9992563608024608,0.9254699753691306,98.91,0.0,0.0,2269918,1688,0,dasL2_013_015G1_metabat.metabat.11.fa.fa,Firmicutes,Lactobacillus,Lactobacillus paracasei,NIHL.delta.fasta-vs-L2_013_017G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_021_036G1.shrink.sort.bam,P1,P1
#19,#23,#19D61,#23D15,L2_019_061G1,L2_023_015G1,2.0,4.47213595499958,#19D61-vs-#23D15,#23D15-vs-#19D61,#19-vs-#23,No,Clostridium_butyricum_dasL3_063_040G1_concoct_8.fa,0.999998743899118,0.8859806585718664,0.9994887669410326,0.990940743871814,99.19,0.0,0.0,3980572,2035,5,dasL3_063_040G1_concoct_8.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_019_061G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_023_015G1.shrink.sort.bam,P1,P1
#19,#23,#19D70,#23D15,L2_019_070G1,L2_023_015G1,2.0,3.605551275463989,#19D70-vs-#23D15,#23D15-vs-#19D70,#19-vs-#23,No,Clostridium_butyricum_dasL3_063_040G1_concoct_8.fa,0.9999987436409388,0.8857985912260901,0.9995245937311704,0.9923140948593916,99.19,0.0,0.0,3979754,1892,5,dasL3_063_040G1_concoct_8.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_019_070G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_023_015G1.shrink.sort.bam,P1,P1
#19,#23,#19D119,#23D15,L2_019_119G1,L2_023_015G1,2.0,2.8284271247461903,#19D119-vs-#23D15,#23D15-vs-#19D119,#19-vs-#23,No,Clostridium_butyricum_dasL3_063_040G1_concoct_8.fa,0.9999994243648512,0.7733239287462303,0.9996675707016676,0.8742926383006552,99.19,0.0,0.0,3474423,1155,2,dasL3_063_040G1_concoct_8.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_019_119G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_023_015G1.shrink.sort.bam,P1,P1
#22,#31,#22D103,#31D369,L2_022_103G1,L2_031_369G1,3.0,6.708203932499369,#22D103-vs-#31D369,#31D369-vs-#22D103,#22-vs-#31,No,Akkermansia_sp._CAG:344_dasL1_008_000M1_concoct_60.fa,0.9999931058055648,0.9046030691504168,0.9995892511526004,0.9231639242029802,97.96,0.0,0.0,2755942,1132,19,dasL1_008_000M1_concoct_60.fa,Verrucomicrobia,Akkermansia,Akkermansia sp. CAG:344,NIHL.delta.fasta-vs-L2_022_103G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_031_369G1.shrink.sort.bam,P1,P1
#22,#31,#22D124,#31D369,L2_022_124G1,L2_031_369G1,3.0,5.830951894845301,#22D124-vs-#31D369,#31D369-vs-#22D124,#22-vs-#31,No,Akkermansia_sp._CAG:344_dasL1_008_000M1_concoct_60.fa,0.9999927429532262,0.9046030691504168,0.999581631253488,0.92361916086826,97.96,0.0,0.0,2755942,1153,20,dasL1_008_000M1_concoct_60.fa,Verrucomicrobia,Akkermansia,Akkermansia sp. CAG:344,NIHL.delta.fasta-vs-L2_022_124G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_031_369G1.shrink.sort.bam,P1,P1
#39,#41,#39D34,#41D12,L2_039_034G1,L2_041_012G1,2.0,5.385164807134504,#39D34-vs-#41D12,#41D12-vs-#39D34,#39-vs-#41,No,Staphylococcus_epidermidis_dasL3_128_009G1_concoct_6.fa,0.9999901865448608,0.9517910137260812,0.994273402860176,0.9840916774604996,99.7,0.0,0.0,2241820,12838,22,dasL3_128_009G1_concoct_6.fa,Firmicutes,Staphylococcus,Staphylococcus epidermidis,NIHL.delta.fasta-vs-L2_039_034G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_012G1.shrink.sort.bam,P2,P2
#39,#40,#39D38,#40D71,L2_039_038G1,L2_040_071G1,2.0,2.23606797749979,#39D38-vs-#40D71,#40D71-vs-#39D38,#39-vs-#40,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999997292356948,0.804926305061976,0.9972476808360335,0.9122158750146412,100.0,0.0,0.0,3693249,10165,1,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_039_038G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_040_071G1.shrink.sort.bam,P2,P2
#39,#40,#39D64,#40D71,L2_039_064G1,L2_040_071G1,7.0,7.615773105863909,#39D64-vs-#40D71,#40D71-vs-#39D64,#39-vs-#40,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999994586244242,0.8051538399675523,0.9973743284574342,0.8982619328204294,100.0,0.0,0.0,3694293,9700,2,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_039_064G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_040_071G1.shrink.sort.bam,P2,P2
#40,#41,#40D71,#41D87,L2_040_071G1,L2_041_087G1,1.0,6.082762530298219,#40D71-vs-#41D87,#41D87-vs-#40D71,#40-vs-#41,No,Clostridium_butyricum_dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,0.9999934975667352,0.8044200181025376,0.9972321309069864,0.9036313005017932,100.0,0.0,0.0,3690926,10216,24,dasL3_123_031G1_maxbin2.maxbin.004.fasta_sub.fa,Firmicutes,Clostridium,Clostridium butyricum,NIHL.delta.fasta-vs-L2_040_071G1.shrink.sort.bam,NIHL.delta.fasta-vs-L2_041_087G1.shrink.sort.bam,P2,P2
